Mary	James	Smith	Military Street	El Paso	TX	79936
Patricia	John	Johnson	Pineknoll Street	Chicago	IL	60629
Linda	Robert	Williams	East Bow Ridge St.	Norwalk	CA	90650
Barbara	Michael	Brown	Spring St.	Elmhurst	NY	11373
Elizabeth	William	Jones	Cypress Street	Ridgewood	NY	11385
Jennifer	David	Miller	Pumpkin Hill St.	Brooklyn	NY	11226
Maria	Richard	Davis	Winding Way Drive	Brooklyn	NY	11220
Susan	Charles	Garcia	Annadale Street	Houston	TX	77084
Margaret	Joseph	Rodriguez	South Border St.	Pacoima	CA	91331
Dorothy	Thomas	Wilson	Fulton Ave.	Brooklyn	NY	11236
Lisa	Christopher	Martinez	Lake Forest Dr.	Katy	TX	77449
Nancy	Daniel	Anderson	West Lees Creek Avenue	Westminster	CA	92683
Karen	Paul	Taylor	East Linden St.	Atlanta	GA	31139
Betty	Mark	Thomas	Glenridge St.	New York	NY	10002
Helen	Donald	Hernandez	West Lawrence Street	Keller	TX	76248
Sandra	George	Moore	Pleasant Ave.	South Gate	CA	90280
Donna	Kenneth	Martin	S. Rock Maple Ave.	New York	NY	10025
Carol	Steven	Jackson	W. Water Road	Chicago	IL	60618
Ruth	Edward	Thompson	Vine Avenue	Grand Prairie	TX	75052
Sharon	Brian	White	Surrey St.	Staten Island	NY	10314
Michelle	Ronald	Lopez	Smoky Hollow Court	Hawthorne	CA	90250
Laura	Anthony	Lee	Howard Court	San Diego	CA	92154
Sarah	Kevin	Gonzalez	Helen Street	Corona	NY	11368
Kimberly	Jason	Harris	Pulaski Street	Flushing	NY	11355
Deborah	Matthew	Clark	North Rockland Street	Bell Gardens	CA	90201
Jessica	Gary	Lewis	Littleton St.	Santa Ana	CA	92704
Shirley	Timothy	Robinson	Mechanic Dr.	Brooklyn	NY	11234
Cynthia	Jose	Walker	Westminster Court	Chula Vista	CA	91911
Angela	Larry	Perez	Fulton Ave.	Brownsville	TX	78521
Melissa	Jeffrey	Hall	University Court	Sylmar	CA	91342
Brenda	Frank	Young	Elizabeth Dr.	Woodside	NY	11377
Amy	Scott	Allen	Glenlake Dr.	Fontana	CA	92336
Anna	Eric	Sanchez	Ridgewood Court	Long Beach	CA	90805
Rebecca	Stephen	Wright	Wagon Ave.	Fontana	CA	92335
Virginia	Andrew	King	Foxrun Drive	Chicago	IL	60639
Kathleen	Raymond	Scott	E. High Noon Drive	Brooklyn	NY	11208
Pamela	Gregory	Green	Pierce Dr.	Oxnard	CA	93033
Martha	Joshua	Baker	Pearl Ave.	San Francisco	CA	94112
Debra	Jerry	Adams	Saxton Lane	Bronx	NY	10467
Amanda	Dennis	Nelson	Westport Drive	Lawrenceville	GA	30044
Stephanie	Walter	Hill	Harrison Rd.	Chicago	IL	60632
Carolyn	Patrick	Ramirez	East Cemetery Avenue	Watsonville	CA	95076
Christine	Peter	Campbell	Lakeshore Street	La Puente	CA	91744
Marie	Harold	Mitchell	Pilgrim Ave.	Chicago	IL	60634
Janet	Douglas	Roberts	Cooper Ave.	Los Angeles	CA	90011
Catherine	Henry	Carter	Mulberry St.	Saint Peters	MO	63376
Frances	Carl	Phillips	Beech Ave.	Chino Hills	CA	91709
Ann	Arthur	Evans	Mayfair Ave.	Brooklyn	NY	11214
Joyce	Ryan	Turner	Plumb Branch St.	Chicago	IL	60647
Diane	Roger	Torres	W. Manor Station Lane	Sugar Land	TX	77479
Alice	Joe	Parker	Warren Ave.	Virginia Beach	VA	23464
Julie	Juan	Collins	South Brookside Avenue	Mckinney	TX	75070
Heather	Jack	Edwards	Roberts Ave.	Olathe	KS	66062
Teresa	Albert	Stewart	8th Lane	Pittsburg	CA	94565
Doris	Jonathan	Flores	Prairie Street	Lawrenceville	GA	30043
Gloria	Justin	Morris	Glen Creek Circle	Chicago	IL	60617
Evelyn	Terry	Nguyen	East Court Street	Anaheim	CA	92804
Jean	Gerald	Murphy	East Bradford Street	Brooklyn	NY	11207
Cheryl	Keith	Rivera	Illinois Dr.	Riverside	CA	92503
Mildred	Samuel	Cook	Beechwood St.	Chula Vista	CA	91910
Katherine	Willie	Rogers	Cobblestone St.	Waipahu	HI	96797
Joan	Ralph	Morgan	S. Stillwater Ave.	Woodbridge	VA	22193
Ashley	Lawrence	Peterson	County Rd.	Spring	TX	77379
Judith	Nicholas	Cooper	Blackburn St.	Simi Valley	CA	93065
Rose	Roy	Reed	Smoky Hollow Ave.	Cicero	IL	60804
Janice	Benjamin	Bailey	Prince Street	Antioch	TN	37013
Kelly	Bruce	Bell	York St.	Brooklyn	NY	11235
Nicole	Brandon	Gomez	W. Shipley Lane	Atlanta	GA	30339
Judy	Adam	Kelly	Center Dr.	Brooklyn	NY	11229
Christina	Harry	Howard	Ketch Harbour Circle	Bronx	NY	10456
Kathy	Fred	Ward	N. Linda Ave.	Katy	TX	77450
Theresa	Wayne	Cox	Church Ave.	Cypress	TX	77429
Beverly	Billy	Diaz	Tallwood Avenue	El Paso	TX	79912
Denise	Steve	Richardson	Jockey Hollow Street	Bronx	NY	10462
Tammy	Louis	Wood	Fulton Ave.	San Diego	CA	92126
Irene	Jeremy	Watson	S. Garfield Street	Chicago	IL	60623
Jane	Aaron	Brooks	South Jackson Rd.	Bronx	NY	10453
Lori	Randy	Bennett	Glenlake Avenue	Baldwin Park	CA	91706
Rachel	Howard	Gray	River Street	Brooklyn	NY	11211
Marilyn	Eugene	James	Pennsylvania Street	League City	TX	77573
Andrea	Carlos	Reyes	Helen Street	Union City	CA	94587
Kathryn	Russell	Cruz	West San Carlos Street	Dallas	TX	75217
Louise	Bobby	Hughes	Railroad Ave.	Aurora	CO	80013
Sara	Victor	Price	Tallwood Dr.	Huntington Station	NY	11746
Anne	Martin	Myers	Jennings Ave.	Brooklyn	NY	11212
Jacqueline	Ernest	Long	Saxton Street	Frisco	TX	75034
Wanda	Phillip	Foster	W. Essex Street	Chicago	IL	60625
Bonnie	Todd	Sanders	Thompson St.	Brooklyn	NY	11219
Julia	Jesse	Ross	Glen Eagles St.	Parkville	MD	21234
Ruby	Craig	Morales	Lancaster Court	Los Angeles	CA	90044
Lois	Alan	Powell	Illinois Street	Brooklyn	NY	11230
Tina	Shawn	Sullivan	W. Warren Avenue	Forest Hills	NY	11375
Phyllis	Clarence	Russell	Glenlake Street	Bronx	NY	10452
Norma	Sean	Ortiz	Thatcher Dr.	Chicago	IL	60641
Paula	Philip	Jenkins	Williams Street	Charlotte	NC	28269
Diana	Chris	Gutierrez	Kirkland Ave.	Chino	CA	91710
Annie	Johnny	Perry	Green St.	Houston	TX	77095
Lillian	Earl	Butler	Cleveland St.	Hialeah	FL	33012
Emily	Jimmy	Barnes	Mammoth Court	Bronx	NY	10468
Robin	Antonio	Fisher	Olive Drive	Fremont	CA	94536
Peggy	Danny	Henderson	Shirley Dr.	Rialto	CA	92376
Crystal	Bryan	Coleman	Thatcher St.	Brooklyn	NY	11203
Gladys	Tony	Simmons	Mayfield Street	Miami	FL	33186
Rita	Luis	Patterson	Valley View St.	Salt Lake City	UT	84118
Dawn	Mike	Jordan	Bayberry Ave.	Suwanee	GA	30024
Connie	Stanley	Reynolds	Lancaster Street	Hayward	CA	94544
Florence	Leonard	Hamilton	Depot Lane	Toms River	NJ	8753
